Price;Host ID;Host Response Rate;Host Total Listings Count;Neighbourhood Cleansed;Neighbourhood Group Cleansed;Smart Location;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Location;Review Scores Value;Cancellation Policy;Calculated host listings count
219.0;54310958;99.0;207.0;la Dreta de l'Eixample;Eixample;Barcelona, Spain;Apartment;Entire home/apt;6;1.0;2.0;3.0;Real Bed;1;0;2;1125;0;0;0;0;1;4.0;2.0;6.0;2.0;strict;92.0
29.0;90497929;100.0;8.0;Embajadores;Centro;Madrid, Spain;Guesthouse;Private room;3;1.0;1.0;3.0;Real Bed;1;16;1;1125;27;57;84;359;1;10.0;10.0;8.0;10.0;flexible;8.0
25.0;29519534;100.0;1.0;Palacio;Centro;Madrid, Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;1;0;3;15;2;2;9;9;0;;;;;flexible;1.0
96.0;248295;100.0;25.0;I Centro Storico;;Rome, Italy;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;1;0;3;365;9;33;63;154;52;9.0;9.0;10.0;9.0;strict_new;17.0
41.0;13523635;100.0;3.0;Almenara;Tetuán;Madrid, Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;1;5;1;1125;16;46;76;351;5;10.0;10.0;9.0;9.0;flexible;3.0
59.0;24219783;100.0;2.0;Embajadores;Centro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;2;15;2;1125;7;29;42;251;55;9.0;10.0;9.0;9.0;moderate;1.0
74.0;20891254;100.0;3.0;Embajadores;Centro;Madrid, Spain;Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;1;15;2;1125;15;42;65;334;8;10.0;10.0;10.0;9.0;moderate;3.0
28.0;65190950;;17.0;Palacio;Centro;Madrid, Spain;Apartment;Private room;1;2.0;1.0;1.0;Real Bed;1;0;7;1125;0;6;36;311;0;;;;;flexible;17.0
60.0;43778490;100.0;1.0;Sol;Centro;Madrid, Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;1;0;3;8;0;0;9;9;0;;;;;moderate;1.0
35.0;52658212;100.0;1.0;Palacio;Centro;Madrid, Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;1;15;2;1125;2;9;39;314;41;10.0;10.0;10.0;10.0;moderate;1.0
18.0;36416873;100.0;1.0;Timón;Barajas;Madrid, Spain;House;Private room;1;2.0;1.0;1.0;Real Bed;1;0;7;1125;30;60;90;365;2;6.0;8.0;8.0;8.0;flexible;1.0
35.0;35055507;100.0;2.0;Gaztambide;Chamberí;Madrid, Spain;Apartment;Private room;1;1.0;1.0;2.0;Real Bed;1;10;1;1125;14;44;72;73;95;10.0;10.0;10.0;10.0;moderate;2.0
63.0;16205347;;1.0;Ciudad Universitaria;Moncloa - Aravaca;Madrid, Spain;Apartment;Entire home/apt;4;2.0;2.0;3.0;Real Bed;2;15;2;1125;0;0;6;281;9;10.0;10.0;10.0;10.0;strict;1.0
20.0;18134739;50.0;2.0;Palacio;Centro;Madrid, Spain;Apartment;Private room;1;0.0;1.0;1.0;Real Bed;1;15;1;2;0;0;0;250;11;10.0;10.0;10.0;9.0;flexible;2.0
55.0;105344430;100.0;6.0;Sol;Centro;Madrid, Spain;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;1;0;2;1125;5;14;29;109;0;;;;;strict;6.0
350.0;9228673;100.0;45.0;Palacio;Centro;Madrid, Spain;Apartment;Entire home/apt;6;3.0;3.0;3.0;Real Bed;1;0;5;1125;13;24;48;311;7;9.0;9.0;10.0;9.0;strict;11.0
100.0;124030673;;2.0;Embajadores;Centro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;4;20;1;1125;17;47;72;347;0;;;;;flexible;1.0
39.0;46450046;100.0;2.0;Fuente del Berro;Salamanca;Madrid, Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;1;0;2;1125;22;52;80;80;24;10.0;10.0;10.0;10.0;moderate;2.0
25.0;4515110;100.0;2.0;Salvador;San Blas - Canillejas;Madrid, Spain;House;Private room;2;1.0;1.0;1.0;Real Bed;2;0;2;1125;4;34;64;88;2;6.0;6.0;8.0;4.0;strict;2.0
